trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-72.52158613977578,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-215.51979579051076,"{0: 20, 1: 4, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-107.97145838476439,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,13,-75.46342636185199,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-54.66493148521714,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-79.4545448817027,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-146.8561404088989,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,8,-48.61903647983122,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-78.49016270169447,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-75.190096266238,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,7,-63.94211187100939,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-170.3419873298532,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-19.163859599674957,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-84.3394785021224,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-33.683920300809106,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,5,-12.586757202865044,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,7,18.23940604797402,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,6,36.493855550317974,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,16,-37.46135725010272,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,-36.79787562710728,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",35,21,3.2098545074338145,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,11,15.431087583402325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,-76.21019720579116,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,1,32.71581198146778,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,11,28.124050260632725,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",35,18,31.412711027546415,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,12,15.698382080269589,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,2,35.754933337931895,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,11,17.376487476784376,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,15,-12.82493271243183,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
