trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-126.64524207036871,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-76.63565378197485,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-208.95373766754014,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-206.8011841031056,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-9.259784055476644,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-271.1456850231846,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 5}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-171.4027231882124,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-125.58170306262937,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-55.80709274546138,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-216.87455582694434,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-100.28186235957523,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-252.49714018632255,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 5}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-88.24088746390154,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-152.740237192337,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-276.128422602276,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 5}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-125.50078756834657,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-149.5138823163503,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-141.2203666311425,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-70.874858122957,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-87.62326575837683,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-81.5462657484073,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-92.32361011922666,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-166.8363061209097,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,2,-34.338082150065574,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,11,-34.59556259876597,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-78.52611386076396,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,12,-51.85247197045394,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-61.597962392411375,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,2,-94.95801233651348,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-80.49347573997147,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-27.98454839140824,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-119.56584079372465,"{0: 10, 1: 2, 2: 4, 3: 4, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,7,-74.28527034966208,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-82.75988562893656,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-160.82041465206566,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,3,-97.03408571360424,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 1}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-61.40222467578927,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-76.80566899053147,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-113.0499650446959,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-170.60919489247692,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",30,14,-154.7240852629366,"{0: 6, 1: 2, 2: 5, 3: 1, 4: 2}",1
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",35,0,-181.11582860664603,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-178.95074848959302,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-139.72277607211657,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-96.60164885421048,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-80.73164327706421,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-128.88707826146555,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-36.182005951587875,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-103.74388087095197,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-45.48616331668538,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,7,-43.958109758070805,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-126.34637153210656,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,10,-49.66115877131915,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,13,-98.0837843979377,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,13,-54.285331609610175,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
