trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,17,-72.49303728655453,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.58548463553763,"{0: 15, 1: 7, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-236.7008757821567,"{0: 17, 1: 2, 2: 4, 3: 4, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.12238097373884,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,2,-235.2915748067099,"{0: 12, 1: 6, 2: 4, 3: 3, 4: 3}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.89013370762123,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.42431567521922,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-9.041803138736007,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-225.39453176305435,"{0: 19, 1: 3, 2: 9, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,10,-42.06461213107232,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.61524441021638,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.69589530665543,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.83279002960523,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.538071162188125,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.61283919941738,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.07389112667072,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.22454657387726,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.17256498228669,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.94418223733992,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.82114429593733,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.9173907656934,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-151.90161534158977,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-45.77073479984401,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.24146119592334,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.85874617002234,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,7,-34.83050611684416,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.82846987337643,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-67.22731734916505,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.56242238746567,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.21657160044026,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
